name,occupation,marriage_no,partner_name,duration_years,currently_married,partner_occupation
Richard Shelby,Politician,1,Annette Nevin,61,True,Unknown
Tommy Tuberville,Politician,1,Suzanne Fette,30,True,Unknown
Lisa Murkowski,Politician,1,Verne Martell,34,True,Unknown
Mark Kelly,Politician,1,Amelia Babis,15,False,Unknown
Mark Kelly,Politician,2,Gabby Giffords,14,True,Politician
John Boozman,Politician,1,Cathy Marley,49,True,Unknown
Tom Cotton,Politician,1,Anna Peckham,7,True,Unknown
Dianne Feinstein,Politician,1,Jack Berman,3,False,Unknown
Dianne Feinstein,Politician,2,Bertram Feinstein,16,False,Unknown
Dianne Feinstein,Politician,3,Richard C. Blum,41,True,Unknown
Alex Padilla,Unknown,1,Angela Monzon,9,True,Unknown
Michael Bennet,Politician,1,Susan Daggett,24,True,Unknown
John Hickenlooper,Politician,1,Helen Thorpe,13,False,Unknown
John Hickenlooper,Politician,2,Robin Pringle,5,True,Politician
Richard Blumenthal,Politician,1,Cynthia Malkin,39,True,Unknown
Tom Carper,Politician,1,Diane Isaacs,5,False,Unknown
Tom Carper,Politician,2,Martha Stacy,36,True,Unknown
Chris Coons,Politician,1,Annie Lingenfelter,25,True,Unknown
Marco Rubio,Politician,1,Jeanette Dousdebes,23,True,Unknown
Rick Scott,Unknown,1,Ann Holland,49,True,Unknown
Jon Ossoff,Politician,1,Alisha Kramer,4,True,Politician
Raphael Warnock,Politician,1,Oulèye Ndoye,4,False,Unknown
Mazie Hirono,Politician,1,Leighton Kim Oshima,34,True,Unknown
Mike Crapo,Politician,1,Susan Hasleton,47,True,Unknown
Jim Risch,Politician,1,Vicki Risch,53,True,Politician
Tammy Duckworth,Politician,1,Bryan Bowlsbey,28,True,Politician
Dick Durbin,Unknown,1,Loretta Schaefer,54,True,Unknown
Mike Braun,Politician,1,Maureen Braun,45,True,Unknown
Todd Young,Politician,1,Jennifer Tucker,16,True,Unknown
Joni Ernst,Politician,1,Gail Ernst,27,False,Unknown
Chuck Grassley,Politician,1,Barbara Speicher,67,True,Unknown
Jerry Moran,Politician,1,Robba Addison,37,True,Unknown
Mitch McConnell,Politician,1,Sherrill Redmon,12,False,Unknown
Mitch McConnell,Politician,2,Elaine Chao,28,True,Unknown
Rand Paul,Politician,1,Kelley Ashby,31,True,Unknown
Bill Cassidy,Politician,1,Laura Layden,32,True,Unknown
Susan Collins,Politician,1,Thomas Daffron,9,True,Unknown
Ben Cardin,Politician,1,Myrna Edelman,57,True,Unknown
Chris Van Hollen,Politician,1,Katherine Wilkens,34,True,Unknown
Edward Markey,Politician,1,Susan Blumenthal,33,True,Politician
Elizabeth Warren,Unknown,1,Jim Warren,10,False,Unknown
Elizabeth Warren,Unknown,2,Bruce H. Mann,41,True,Unknown
Debbie Stabenow,Politician,1,Dennis Stabenow,18,False,Unknown
Debbie Stabenow,Politician,2,Tom Athans,7,False,Unknown
Amy Klobuchar,Unknown,1,John Bessler,28,True,Unknown
Tina Smith,Politician,1,Archie Smith,37,True,Unknown
Cindy Hyde-Smith,Politician,1,Michael Smith,25,True,Unknown
Roger Wicker,Politician,1,Gayle Long,46,True,Unknown
Roy Blunt,Politician,1,Roseann Ray,36,False,Unknown
Roy Blunt,Politician,2,Abigail Perlman,18,True,Unknown
Josh Hawley,Politician,1,Erin Morrow,11,True,Unknown
Steve Daines,Politician,1,Cindy Daines,35,True,Unknown
Jon Tester,Politician,1,Sharla Bitz,43,True,Unknown
Deb Fischer,Unknown,1,Bruce Fischer,49,True,Unknown
Ben Sasse,Politician,1,Melissa McLeod,26,True,Unknown
Jeanne Shaheen,Politician,1,Bill Shaheen,49,True,Unknown
Bob Menendez,Politician,1,Jane Jacobsen,29,False,Unknown
Bob Menendez,Politician,2,Nadine Arslanian,1,True,Unknown
Martin Heinrich,Politician,1,Julie Hicks,23,True,Unknown
